tribunal_property_factor,tribunal_registration_number,case_references,hearing_date,outcome,outcome_type,pfeo_resolved
,Lowther Homes Limited (Property Factor),FTS/HPC/LM/23/2290,2025-08-13T12:00:00Z,PFEO Proposed,negative,pending
,,FTS/HPC/PF/25/3350,2025-11-28T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/1748,2025-11-13T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/25/3046,2025-11-13T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0998,2025-10-17T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/2411,2025-09-11T12:00:00Z,Decision Issued,negative,
,,FTS/HPC/PF/25/2377,2025-09-02T12:00:00Z,Decision Issued,negative,
,,FTS/HPC/PF/25/3370,2025-09-02T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/2040,2025-08-25T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/25/0914,2025-08-18T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/1350,2025-07-17T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/25/0912,2025-06-12T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/135,2025-07-17T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/24/4437,2025-01-30T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4162,2025-01-22T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4401,2025-01-22T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4442,2025-01-22T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4538,2025-01-22T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/1398,2025-07-17T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5707,2025-07-07T12:00:00Z,Decision Issued,negative,
,,FTS/HPC/PF/25/1163,2025-07-07T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0151,2025-06-03T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0975,2025-06-12T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/1802,2025-04-30T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4327,2025-04-30T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0012,2025-04-23T12:00:00Z,Decision Issued,negative,
,,FTS/HPC/PF/25/0107,2025-04-23T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5758,2025-04-23T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5646,2025-04-23T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5128,2025-04-10T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0130,2025-04-10T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/25/0781,2025-03-19T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/4102,2025-03-13T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5211,2025-02-10T12:00:00Z,Rejected,positive,
,,FTS/HPC/PF/24/5160,2025-02-06T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/25/1034,2025-06-12T12:00:00Z,Rejected,positive,
,,FTS/HPC/LM/24/5364,2025-04-23T12:00:00Z,Rejected,positive,
,,,,Rejected,positive,
,Walker Sandford (Property Factor),FTS/HPC/PF/22/1049,2023-01-13T12:00:00Z,PFEO Proposed,negative,pending
,,FTS/HPC/PF/21/1340,2021-08-17T12:00:00Z,Rejected,positive,
Hillcrest Enterprises,,FTS/HPC/PF/20/1840,2020-11-05T12:00:00Z,Rejected,positive,
Time-to-Let,,HOHP/PF/14/0195,2015-09-10T12:00:00Z,Decision Issued,negative,
